salario;sexo;estadocivil;edad;tiempoempleo;vivienda;tiemporesidencia;telefono;trabajo;historialcredito;diasatraso;proposito;montodecredito;plazo;cuentaahorro;otraspropiedades;fiador;creditosexistentes;personastrabajan;resultado
2;Femenino;divorciada/separada;34;Desempleado;Propio;2;Si;Profesional/calificado;creditos pagados con retraso;2;Aumento capital;2064;18;<1;Terreno-Construccion;ninguno;1;1;Malo
2;Masculino;Soltero;33;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;1414;12;<1;Casa;garante;1;1;Bueno
1;Masculino;Soltero;26;<1;Propio;1;No;Empleado;creditos pagados con retraso;2;Educacion;3414;18;<1;Terreno-Construccion;ninguno;2;1;Malo
0;Femenino;divorciada/separada;53;Desempleado;Propio;1;Si;Profesional/calificado;creditos pagados;0;Automovil;7485;30;No;Casa;ninguno;1;1;Malo
1;Masculino;divorciado/separado;42;1<=X<4;Propio;1;No;Empleado;creditos pagados;0;Aumento capital;2577;18;<1;Automovil;ninguno;1;1;Bueno
1;Masculino;Soltero;52;>=7;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;1100;12;5<=X<10;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;31;4<=X<7;Alquilada;2;Si;Profesional/calificado;creditos pagados;0;Electrodomestico;1963;18;<1;Automovil;ninguno;2;2;Bueno
1;Masculino;Casado;65;>=7;Propio;4;No;Empleado;creditos existentes;0;Educacion;1100;12;<1;Casa;ninguno;2;1;Bueno
0;Masculino;Soltero;28;<1;Propio;1;No;Empleado;creditos pagados con retraso;1;Aumento capital;9572;24;<1;Automovil;ninguno;2;1;Malo
2;Masculino;divorciado/separado;30;1<=X<4;Propio;2;Si;Profesional/calificado;creditos pagados con retraso;1;Aumento capital;4455;18;<1;Casa;ninguno;2;1;Malo
1;Masculino;Soltero;40;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;1647;18;No;Terreno-Construccion;ninguno;2;2;Malo
0;Masculino;Soltero;50;1<=X<4;Propio;4;Si;Empleado;creditos existentes;0;Aumento capital;3777;24;>=10;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;36;>=7;Propio;3;Si;Empleado;creditos existentes;0;Reparaciones;884;12;<1;Automovil;ninguno;1;2;Malo
0;Masculino;Soltero;31;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;1360;15;<1;Terreno-Construccion;ninguno;2;1;Bueno
2;Femenino;divorciada/separada;61;>=7;Alquilada;4;Si;Profesional/calificado;creditos pagados;0;Automovil;5129;30;<1;Ninguno;ninguno;1;2;Malo
2;Masculino;Casado;58;Desempleado;Alquilada;3;Si;Obrero/Agricultor;creditos existentes;0;Educacion;1175;12;<1;Automovil;ninguno;3;1;Bueno
1;Masculino;Casado;40;4<=X<7;Propio;1;No;Empleado;creditos pagados;0;Electrodomestico;674;8;1<=X<5;Terreno-Construccion;ninguno;1;1;Malo
2;Femenino;divorciada/separada;33;1<=X<4;Propio;3;Si;Empleado;sin creditos;0;Aumento capital;3244;18;<1;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;54;1<=X<4;Propio;3;Si;Profesional/calificado;creditos pagados;0;Aumento capital;4591;24;>=10;Terreno-Construccion;ninguno;3;1;Malo
2;Masculino;Soltero;34;4<=X<7;Alquilada;3;No;Obrero/Agricultor;sin creditos;0;Aumento capital;3844;24;1<=X<5;Ninguno;ninguno;1;2;Malo
2;Masculino;Soltero;36;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;3915;24;<1;Automovil;ninguno;1;2;Malo
0;Masculino;Casado;39;4<=X<7;Alquilada;2;No;Empleado;creditos pagados;0;Electrodomestico;2108;18;<1;Maquinaria;ninguno;1;1;Bueno
2;Masculino;Soltero;31;1<=X<4;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;3031;18;1<=X<5;Terreno-Construccion;garante;1;1;Malo
2;Femenino;divorciada/separada;34;>=7;Propio;3;Si;Profesional/calificado;creditos existentes;0;Educacion;1501;12;<1;Automovil;ninguno;2;1;Malo
0;Femenino;divorciada/separada;28;1<=X<4;Propio;1;Si;Empleado;creditos existentes;0;Electrodomestico;1382;12;<1;Automovil;ninguno;2;1;Bueno
2;Femenino;divorciada/separada;35;<1;Alquilada;3;No;Empleado;creditos pagados;0;Aumento capital;951;12;1<=X<5;Automovil;ninguno;4;1;Malo
2;Masculino;Soltero;36;>=7;Alquilada;3;Si;Empleado;creditos pagados;0;Aumento capital;2760;24;No;Ninguno;ninguno;1;1;Bueno
2;Masculino;divorciado/separado;40;>=7;Propio;3;Si;Profesional/calificado;creditos pagados con retraso;1;Aumento capital;4297;24;<1;Ninguno;ninguno;1;1;Malo
0;Masculino;Soltero;52;>=7;Propio;2;Si;Empleado;creditos existentes;0;Educacion;936;9;5<=X<10;Automovil;ninguno;2;1;Bueno
1;Masculino;Casado;34;1<=X<4;Propio;3;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;1168;12;<1;Casa;ninguno;1;1;Bueno
0;Masculino;Soltero;26;4<=X<7;Propio;2;No;Empleado;creditos pagados con retraso;1;Aumento capital;5117;24;<1;Automovil;ninguno;2;1;Bueno
1;Masculino;Casado;41;4<=X<7;Alquilada;4;No;Empleado;creditos pagados;0;Educacion;902;12;<1;Terreno-Construccion;ninguno;1;1;Malo
0;Masculino;Soltero;38;>=7;Propio;1;No;Obrero/Agricultor;creditos existentes;0;Educacion;1495;12;<1;Casa;ninguno;2;2;Bueno
1;Masculino;Soltero;38;>=7;Alquilada;3;Si;Profesional/calificado;creditos existentes;0;Automovil;10623;36;<1;Ninguno;ninguno;3;2;Bueno
0;Masculino;Soltero;43;>=7;Propio;4;Si;Empleado;creditos existentes;0;Aumento capital;1935;12;<1;Casa;ninguno;3;1;Bueno
2;Masculino;Soltero;26;4<=X<7;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;1424;12;<1;Terreno-Construccion;ninguno;1;1;Bueno
1;Masculino;Casado;41;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;6568;24;<1;Automovil;ninguno;1;1;Bueno
0;Masculino;Casado;55;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Reparaciones;1413;12;>=10;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;33;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;3074;18;No;Casa;ninguno;2;2;Bueno
0;Femenino;divorciada/separada;45;>=7;Propio;4;Si;Empleado;creditos pagados;0;Electrodomestico;3835;18;No;Casa;ninguno;1;1;Bueno
1;Masculino;Casado;50;Desempleado;Propio;4;Si;Empleado;sin creditos;0;Aumento capital;5293;24;<1;Terreno-Construccion;ninguno;2;1;Malo
3;Masculino;Casado;56;>=7;Propio;4;Si;Profesional/calificado;creditos pagados con retraso;2;Aumento capital;1908;24;<1;Casa;ninguno;1;1;Malo
0;Masculino;Casado;51;>=7;Propio;2;Si;Empleado;creditos existentes;0;Electrodomestico;3342;18;No;Automovil;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;39;4<=X<7;Propio;3;No;Empleado;creditos existentes;0;Educacion;932;10;No;Terreno-Construccion;ninguno;2;1;Bueno
1;Masculino;Soltero;31;4<=X<7;Propio;1;Si;Empleado;sin creditos;0;Aumento capital;3104;24;<1;Terreno-Construccion;ninguno;1;1;Bueno
3;Masculino;Soltero;27;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Electrodomestico;3913;18;<1;Casa;ninguno;1;1;Bueno
1;Masculino;divorciado/separado;38;1<=X<4;Alquilada;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;3021;24;<1;Maquinaria;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;54;1<=X<4;Propio;4;Si;Empleado;creditos pagados;0;Reparaciones;1364;12;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Casado;28;<1;Propio;1;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;625;10;<1;Casa;garante;1;1;Bueno
1;Femenino;divorciada/separada;33;1<=X<4;Alquilada;3;Si;Empleado;creditos pagados;0;Educacion;1200;12;No;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;30;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;707;12;<1;Casa;ninguno;2;1;Bueno
0;Masculino;Soltero;32;1<=X<4;Propio;2;Si;Empleado;creditos pagados con retraso;1;Aumento capital;2978;18;No;Casa;ninguno;2;2;Bueno
0;Masculino;Soltero;30;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Automovil;4657;30;<1;Automovil;ninguno;1;1;Bueno
0;Masculino;Soltero;27;1<=X<4;Propio;2;No;Empleado;sin creditos;0;Reparaciones;2613;18;<1;Automovil;ninguno;2;1;Bueno
2;Masculino;Soltero;35;4<=X<7;Propio;2;Si;Empleado;creditos pagados;0;Electrodomestico;10961;24;>=10;Ninguno;co-solicitante;2;1;Malo
1;Masculino;Casado;53;>=7;Alquilada;4;Si;Profesional/calificado;creditos pagados;0;Aumento capital;7865;18;<1;Ninguno;ninguno;1;1;Malo
0;Masculino;Soltero;32;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;1478;12;<1;Automovil;ninguno;1;1;Malo
1;Masculino;Soltero;31;<1;Alquilada;1;No;Empleado;creditos pagados;0;Aumento capital;3149;24;<1;Ninguno;ninguno;1;1;Bueno
3;Masculino;Soltero;26;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;4210;24;<1;Automovil;ninguno;1;1;Malo
0;Masculino;Casado;51;>=7;Alquilada;4;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;2507;24;5<=X<10;Ninguno;ninguno;1;1;Bueno
0;Masculino;Soltero;35;4<=X<7;Propio;1;No;Empleado;creditos pagados;0;Electrodomestico;2141;18;1<=X<5;Ninguno;ninguno;1;1;Bueno
2;Masculino;Casado;29;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;866;12;<1;Casa;garante;1;1;Bueno
0;Masculino;Soltero;42;4<=X<7;Propio;1;No;Obrero/Agricultor;creditos existentes;0;Electrodomestico;1544;12;<1;Casa;ninguno;3;2;Bueno
1;Masculino;Soltero;30;Desempleado;Propio;2;No;Profesional/calificado;creditos pagados;0;Electrodomestico;1823;18;<1;Automovil;ninguno;1;2;Malo
2;Masculino;Soltero;31;Desempleado;Propio;2;Si;Obrero/Agricultor;creditos pagados;0;Automovil;14555;36;No;Terreno-Construccion;ninguno;1;1;Malo
2;Masculino;divorciado/separado;61;>=7;Alquilada;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;2767;18;1<=X<5;Automovil;ninguno;2;1;Malo
0;Femenino;divorciada/separada;35;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;1291;12;<1;Terreno-Construccion;ninguno;2;1;Bueno
1;Masculino;Soltero;39;>=7;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;2522;18;<1;Terreno-Construccion;garante;1;2;Bueno
1;Femenino;divorciada/separada;29;>=7;Propio;2;No;Empleado;creditos pagados;0;Educacion;1200;12;No;Automovil;ninguno;1;1;Malo
0;Masculino;Casado;51;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;1595;12;<1;Terreno-Construccion;ninguno;1;2;Bueno
1;Masculino;Soltero;26;>=7;Alquilada;2;No;Empleado;sin creditos;0;Automovil;4605;36;<1;Ninguno;ninguno;2;2;Malo
0;Femenino;divorciada/separada;27;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Aumento capital;1185;24;<1;Casa;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;35;1<=X<4;Propio;3;No;Empleado;creditos pagados;0;Educacion;3447;18;5<=X<10;Casa;ninguno;1;2;Bueno
0;Masculino;Soltero;25;4<=X<7;Propio;1;Si;Empleado;creditos pagados;0;Aumento capital;1258;12;<1;Casa;ninguno;1;1;Bueno
0;Masculino;Casado;52;>=7;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;717;12;<1;Casa;ninguno;3;1;Bueno
0;Masculino;Soltero;35;1<=X<4;Alquilada;1;No;Empleado;sin creditos;0;Reparaciones;1204;10;1<=X<5;Ninguno;ninguno;1;1;Bueno
3;Masculino;Soltero;26;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;1925;18;<1;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;32;Desempleado;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;600;10;<1;Maquinaria;co-solicitante;1;1;Malo
1;Femenino;divorciada/separada;47;4<=X<7;Propio;4;Si;Empleado;creditos existentes;0;Electrodomestico;666;9;>=10;Casa;ninguno;2;1;Bueno
3;Femenino;divorciada/separada;46;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;2251;12;<1;Automovil;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;34;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Reparaciones;2150;18;<1;Ninguno;garante;1;1;Malo
0;Masculino;Soltero;35;1<=X<4;Propio;3;No;Empleado;creditos pagados con retraso;2;Aumento capital;4151;24;1<=X<5;Terreno-Construccion;ninguno;2;1;Bueno
2;Masculino;Soltero;24;4<=X<7;Propio;1;Si;Empleado;creditos pagados;0;Aumento capital;2030;24;No;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;27;1<=X<4;Propio;1;No;Obrero/Agricultor;creditos pagados con retraso;1;Electrodomestico;7418;24;No;Casa;ninguno;1;1;Bueno
0;Masculino;Soltero;35;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos existentes;0;Electrodomestico;2684;18;<1;Casa;ninguno;2;1;Bueno
1;Masculino;divorciado/separado;29;1<=X<4;Alquilada;1;No;Empleado;creditos pagados;0;Electrodomestico;2149;18;<1;Ninguno;ninguno;1;1;Malo
0;Femenino;divorciada/separada;38;<1;Propio;3;Si;Empleado;creditos pagados;0;Reparaciones;3812;18;1<=X<5;Automovil;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;57;Desempleado;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;1154;12;1<=X<5;Casa;ninguno;3;1;Bueno
1;Masculino;Soltero;27;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;1657;18;<1;Casa;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;55;>=7;Propio;4;No;Empleado;creditos pagados;0;Electrodomestico;1603;18;<1;Automovil;ninguno;1;1;Bueno
1;Masculino;Soltero;36;>=7;Alquilada;3;Si;Profesional/calificado;creditos existentes;0;Automovil;5302;30;<1;Ninguno;ninguno;3;1;Bueno
0;Femenino;divorciada/separada;57;>=7;Alquilada;4;No;Empleado;creditos existentes;0;Educacion;2748;18;<1;Ninguno;ninguno;3;1;Bueno
0;Masculino;Soltero;32;>=7;Propio;3;No;Obrero/Agricultor;creditos existentes;0;Educacion;1231;12;<1;Casa;ninguno;2;2;Bueno
2;Masculino;Soltero;37;>=7;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;802;12;<1;Automovil;ninguno;1;2;Malo
0;Masculino;Soltero;36;>=7;Propio;3;No;Empleado;creditos existentes;0;Aumento capital;6304;24;No;Casa;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;38;<1;Propio;3;Si;Empleado;creditos pagados;0;Electrodomestico;1533;18;<1;Automovil;ninguno;1;1;Bueno
1;Masculino;divorciado/separado;45;>=7;Propio;4;Si;Profesional/calificado;creditos pagados;0;Automovil;8978;30;<1;Terreno-Construccion;ninguno;1;1;Malo
0;Masculino;Soltero;31;>=7;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;999;12;No;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;32;4<=X<7;Propio;3;No;Empleado;creditos pagados;0;Reparaciones;2662;18;No;Terreno-Construccion;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;37;4<=X<7;Alquilada;3;Si;Empleado;creditos existentes;0;Aumento capital;1402;12;5<=X<10;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;36;Desempleado;Alquilada;3;Si;Profesional/calificado;creditos pagados;0;Automovil;12169;36;No;Ninguno;co-solicitante;1;1;Bueno
2;Masculino;Soltero;28;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;3060;18;<1;Casa;ninguno;2;1;Malo
1;Masculino;divorciado/separado;34;<1;Propio;1;Si;Obrero/Agricultor;creditos pagados;0;Automovil;11998;36;<1;Ninguno;ninguno;1;1;Malo
0;Masculino;Soltero;32;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2697;18;<1;Casa;ninguno;1;2;Bueno
0;Femenino;divorciada/separada;31;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;2404;18;<1;Automovil;ninguno;2;1;Bueno
1;Masculino;divorciado/separado;49;>=7;Propio;4;Si;Obrero/Agricultor;creditos pagados;0;Aumento capital;1262;12;No;Terreno-Construccion;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;32;<1;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;4611;24;<1;Terreno-Construccion;ninguno;1;1;Malo
0;Masculino;Soltero;29;1<=X<4;Alquilada;2;Si;Profesional/calificado;creditos pagados;0;Electrodomestico;1901;12;1<=X<5;Automovil;ninguno;1;1;Bueno
0;Masculino;Soltero;39;>=7;Alquilada;2;Si;Empleado;creditos existentes;0;Aumento capital;3368;20;>=10;Ninguno;ninguno;2;1;Bueno
0;Masculino;Soltero;50;1<=X<4;Propio;3;No;Empleado;creditos pagados;0;Reparaciones;1574;12;<1;Casa;ninguno;1;1;Bueno
3;Masculino;Soltero;49;4<=X<7;Propio;3;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;1445;18;No;Automovil;ninguno;1;1;Bueno
0;Masculino;Casado;63;>=7;Propio;3;No;Empleado;creditos existentes;0;Aumento capital;1520;15;No;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;divorciado/separado;37;<1;Propio;2;Si;Empleado;creditos existentes;0;Reparaciones;3878;24;1<=X<5;Automovil;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;35;<1;Propio;1;Si;Empleado;creditos pagados;0;Automovil;10722;36;<1;Casa;ninguno;1;1;Bueno
1;Masculino;Soltero;36;4<=X<7;Propio;3;No;Empleado;creditos pagados;0;Aumento capital;4788;24;<1;Terreno-Construccion;ninguno;1;2;Bueno
2;Masculino;Soltero;31;Desempleado;Alquilada;2;Si;Profesional/calificado;creditos pagados con retraso;1;Otros;7582;36;1<=X<5;Ninguno;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;49;1<=X<4;Propio;3;Si;Empleado;creditos pagados;0;Electrodomestico;1092;12;<1;Casa;garante;2;1;Bueno
1;Masculino;Casado;48;<1;Propio;2;No;Empleado;creditos pagados con retraso;1;Electrodomestico;1024;12;<1;Casa;ninguno;1;1;Malo
0;Masculino;Casado;32;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;1076;12;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Casado;28;<1;Alquilada;2;Si;Profesional/calificado;creditos pagados;0;Automovil;9398;36;<1;Automovil;ninguno;1;1;Malo
1;Femenino;divorciada/separada;44;>=7;Alquilada;2;Si;Profesional/calificado;creditos existentes;0;Automovil;6419;24;<1;Ninguno;ninguno;2;2;Bueno
3;Masculino;Soltero;56;>=7;Alquilada;2;No;Empleado;creditos existentes;0;Aumento capital;4796;24;<1;Ninguno;ninguno;1;1;Bueno
0;Masculino;divorciado/separado;46;>=7;Propio;2;No;Profesional/calificado;creditos existentes;0;Aumento capital;7629;24;No;Automovil;ninguno;2;2;Bueno
2;Femenino;divorciada/separada;26;<1;Propio;1;Si;Empleado;creditos pagados;0;Aumento capital;9960;48;<1;Automovil;ninguno;1;1;Malo
0;Femenino;divorciada/separada;31;<1;Alquilada;1;No;Empleado;creditos pagados;0;Aumento capital;4675;24;No;Automovil;ninguno;1;1;Bueno
0;Masculino;Soltero;45;>=7;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Educacion;1287;10;No;Terreno-Construccion;co-solicitante;1;1;Bueno
0;Masculino;Soltero;43;1<=X<4;Propio;4;Si;Empleado;creditos pagados;0;Aumento capital;2515;18;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;36;4<=X<7;Propio;2;Si;Empleado;creditos existentes;0;Aumento capital;2745;18;>=10;Automovil;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;54;Desempleado;Propio;4;Si;Empleado;creditos pagados;0;Educacion;672;6;<1;Casa;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;42;1<=X<4;Propio;1;Si;Empleado;sin creditos;0;Electrodomestico;3804;18;<1;Automovil;ninguno;1;1;Malo
3;Masculino;Soltero;37;4<=X<7;Propio;2;No;Obrero/Agricultor;creditos existentes;0;Educacion;1344;12;No;Casa;ninguno;2;2;Malo
1;Masculino;Soltero;49;4<=X<7;Propio;3;Si;Empleado;creditos existentes;0;Educacion;1038;10;<1;Terreno-Construccion;co-solicitante;2;1;Bueno
0;Masculino;Soltero;44;1<=X<4;Alquilada;2;No;Empleado;creditos existentes;0;Automovil;10127;36;5<=X<10;Ninguno;ninguno;1;1;Malo
0;Masculino;divorciado/separado;38;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;1543;12;>=10;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;29;4<=X<7;Alquilada;1;No;Empleado;creditos pagados;0;Automovil;4811;30;No;Terreno-Construccion;ninguno;1;1;Bueno
1;Masculino;Casado;33;<1;Propio;3;Si;Obrero/Agricultor;creditos pagados;0;Electrodomestico;727;12;1<=X<5;Ninguno;ninguno;1;1;Malo
2;Femenino;divorciada/separada;39;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Educacion;1237;10;<1;Casa;ninguno;1;1;Malo
2;Masculino;Casado;42;1<=X<4;Alquilada;3;No;Obrero/Agricultor;creditos pagados;0;Educacion;1100;9;<1;Maquinaria;ninguno;1;1;Bueno
2;Masculino;Soltero;40;Desempleado;Alquilada;3;Si;Obrero/Agricultor;creditos pagados;0;Otros;5381;36;No;Ninguno;ninguno;1;1;Bueno
0;Masculino;Soltero;25;1<=X<4;Propio;1;No;Empleado;creditos pagados;0;Aumento capital;5511;24;1<=X<5;Automovil;ninguno;1;1;Bueno
3;Femenino;divorciada/separada;29;<1;Propio;1;No;Empleado;creditos pagados;0;Aumento capital;3749;24;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Casado;35;4<=X<7;Propio;3;No;Obrero/Agricultor;creditos pagados;0;Educacion;1300;12;<1;Automovil;ninguno;1;1;Malo
3;Masculino;Soltero;29;<1;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;1494;12;No;Casa;ninguno;1;2;Bueno
1;Masculino;Soltero;31;>=7;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;2746;18;<1;Automovil;ninguno;1;1;Malo
1;Masculino;Soltero;38;1<=X<4;Propio;3;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;1500;12;<1;Terreno-Construccion;garante;1;2;Bueno
2;Femenino;divorciada/separada;48;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;4351;18;No;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;32;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Educacion;701;12;<1;Automovil;ninguno;2;1;Bueno
1;Femenino;divorciada/separada;37;>=7;Propio;2;No;Empleado;creditos pagados con retraso;1;Aumento capital;3643;18;<1;Terreno-Construccion;ninguno;2;1;Bueno
2;Masculino;Casado;28;Desempleado;Propio;2;No;Profesional/calificado;creditos existentes;0;Aumento capital;4249;30;<1;Automovil;ninguno;2;1;Malo
1;Masculino;divorciado/separado;32;<1;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;1938;18;<1;Terreno-Construccion;ninguno;1;1;Malo
1;Masculino;Soltero;34;4<=X<7;Alquilada;1;Si;Profesional/calificado;creditos pagados;0;Reparaciones;2910;18;<1;Ninguno;ninguno;1;1;Bueno
1;Masculino;Soltero;38;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;2659;18;>=10;Automovil;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;36;1<=X<4;Propio;3;No;Empleado;creditos existentes;0;Educacion;1028;18;<1;Casa;ninguno;2;1;Bueno
1;Masculino;Soltero;39;4<=X<7;Propio;2;No;Obrero/Agricultor;creditos existentes;0;Reparaciones;3398;18;<1;Casa;ninguno;2;1;Bueno
0;Masculino;Soltero;49;>=7;Alquilada;3;Si;Empleado;creditos existentes;0;Aumento capital;5801;12;No;Terreno-Construccion;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;49;4<=X<7;Propio;3;Si;Empleado;creditos pagados;0;Educacion;1525;24;>=10;Automovil;ninguno;1;2;Bueno
3;Masculino;Soltero;31;>=7;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;4473;36;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;36;>=7;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;1068;12;<1;Automovil;ninguno;1;2;Bueno
1;Masculino;Casado;65;Desempleado;Alquilada;4;Si;Profesional/calificado;creditos existentes;0;Automovil;6615;24;<1;Ninguno;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;39;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Educacion;1864;18;1<=X<5;Casa;ninguno;2;1;Malo
2;Femenino;divorciada/separada;41;<1;Propio;2;No;Profesional/calificado;creditos pagados;0;Automovil;7408;36;1<=X<5;Terreno-Construccion;ninguno;1;1;Malo
0;Femenino;divorciada/separada;36;1<=X<4;Alquilada;3;No;Empleado;creditos existentes;0;Automovil;11590;36;1<=X<5;Automovil;ninguno;2;1;Malo
1;Masculino;Soltero;31;>=7;Alquilada;2;No;Empleado;sin creditos;0;Aumento capital;4110;24;<1;Ninguno;ninguno;2;2;Malo
1;Masculino;divorciado/separado;44;1<=X<4;Alquilada;4;Si;Profesional/calificado;creditos existentes;0;Aumento capital;3384;24;<1;Maquinaria;ninguno;1;1;Malo
2;Femenino;divorciada/separada;33;<1;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;2101;18;<1;Terreno-Construccion;garante;1;1;Bueno
1;Femenino;divorciada/separada;34;1<=X<4;Alquilada;2;No;Empleado;creditos pagados;0;Electrodomestico;1275;15;No;Automovil;ninguno;1;1;Malo
1;Masculino;Soltero;28;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;4169;24;<1;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;divorciado/separado;36;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;1521;10;<1;Automovil;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;34;<1;Alquilada;2;Si;Empleado;creditos existentes;0;Educacion;5743;18;<1;Ninguno;ninguno;2;1;Bueno
1;Femenino;divorciada/separada;36;4<=X<7;Alquilada;2;No;Empleado;creditos pagados;0;Aumento capital;3599;21;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Casado;35;<1;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;3213;18;5<=X<10;Maquinaria;ninguno;1;1;Bueno
2;Masculino;Soltero;33;>=7;Propio;1;Si;Profesional/calificado;creditos pagados;0;Aumento capital;4439;18;<1;Casa;co-solicitante;1;1;Bueno
3;Masculino;Soltero;37;<1;Propio;1;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;3949;18;<1;Terreno-Construccion;garante;1;2;Bueno
